# fraction	#	t1 (s)	t2 (s)	x1 (μm)	x2 (μm)	velocity (μm/s)
0	1	35.457	36.098	3.676	34.816	48.58034321
0	4	33.572	34.058	57.721	99.154	85.25308642
0	5	39.482	40	58.235	87.96	57.38416988
0	8	31.762	32.089	10.316	26.542	49.62079511
0	9	33.68	34.079	7.242	27.142	49.87468672
0	10	33.626	34.098	55.533	79.724	51.25211864
0	10	33.719	34.086	1.86	23.702	59.51498638
0	12	29.733	30.079	2.39	21.048	53.92485549
0	14	31.545	32.101	2.858	32.957	54.13489209
0	15	37.715	38.061	82.614	103.71	60.97109827
						
						
						
						
						
						
0.02	2	27.634	28.106	49.485	74.835	53.70762712
0.02	2	39.609	39.986	68.4007	93.107	65.53395225
0.02	3	33.58	34.089	54.795	83.882	57.1453831
0.02	3	33.65	34.024	21.337	44.773	62.6631016
0.02	4	33.635	34.09	2.776	32.371	65.04395604
0.02	6	35.598	36.075	5.478	34.173	60.1572327
0.02	6	35.649	36.095	42.26	69.98	62.15246637
0.02	6	27.627	28.056	8.846	34.927	60.79487179
0.02	7	39.623	40	23.235	47.298	63.82758621
0.02	8	27.235	27.698	69.044	97.096	60.587473
0.02	9	25.512	26.094	29.417	65.751	62.42955326
0.02	11	35.494	36.139	61.967	99.798	58.65271318
0.02	15	33.271	33.82	64.751	99.829	63.89435337
0.02	14	27.662	28.102	3.157	29.943	60.87727273
0.02	14	37.51	37.93	28.129	48.845	49.32380952
0.02	14	37.508	37.93	4.01	26.989	54.45260664
0.02	13	37.77	38.085	74.4	94.96	65.26984127
0.02	13	37.77	38.093	51.524	74.4	70.82352941
						
						
						
						
						
						
						
						
0.05	1	29.66	30.082	6.514	43.133	86.77488152
0.05	1	33.71	34.087	68.678	93.345	65.42970822
0.05	2	29.608	30.019	23.398	50.697	66.42092457
0.05	2	29.676	30.037	56.398	80.08	65.60110803
0.05	2	35.4	36.102	38.882	84.309	64.71082621
0.05	3	35.348	35.621	72.113	92.548	74.85347985
0.05	6	33.387	33.71	35.126	61.721	82.3374613
0.05	6	35.315	35.589	21.993	47.335	92.48905109
0.05	8	33.464	33.837	56.161	78.017	58.59517426
0.05	8	33.443	33.792	2.988	27.493	70.21489971
0.05	9	25.563	25.904	75.976	102.99	79.21994135
0.05	9	33.58	33.994	38.469	68.845	73.37198068
0.05	9	39.612	39.98	55.334	82.154	72.88043478
0.05	9	39.599	39.976	27.091	46.901	52.5464191
0.05	11	39.306	39.519	71.364	88.187	78.98122066
0.05	12	27.293	27.483	50.364	63.324	68.21052632
0.05	13	29.246	29.412	60.064	73.873	83.18674699
0.05	14	29.415	29.613	60.557	74.178	68.79292929
0.05	14	29.415	29.594	74.178	88.377	79.32402235
